1;2;3;4;5;6;0.43;0.08;9;10;11;12;28;29;30;31;;;1.1;;;;;
Nazwa;dodatkowo;sprawno˜†;ilo˜† faz;ilo˜†_mppt;c.katalogowa;netto;brutto;nom W;min;max W;%;max V/string;zabezpieczenia AC;Gwarancja;Zdj©cie_Inwerter;max_A_DC;zakres_DC;THDi;min_DC;Kolumna1;Kolumna2;Kolumna3;Kolumna4
FoxESS T10 G3;-;98.6;3;2;;4300;4644;10000;3000;15000;0.198309453;1100;15.9;12;;18.2;380-850;0.03;140;;;;
FoxESS T12 G3;-;98.6;3;2;;4600;4968;12000;10000;18000;0.183619864;1100;19.1;12;;18.2;455-850;0.03;140;;;;
FoxESS T15 G3;-;98.6;3;2;;5000;5400;15000;12000;22500;1.377148982;1100;23.9;12;;36.4;275-850;0.03;140;;;;
FoxESS T17 G3;-;98.6;3;2;;5300;5724;17000;15000;25500;1.239434084;1100;27.1;12;;36.4;315-850;0.03;140;;;;
FoxESS T20 G3;-;98.6;3;2;;5600;6048;20000;17000;30000;0.991547267;1100;31.9;12;;36.4;370-850;0.03;140;;;;
FoxESS T23 G3;-;98.6;3;2;;6100;6588;23000;20000;34500;0.826289389;1100;36.7;12;;36.4;430-850;0.03;140;;;;
FoxESS T25 G3;-;98.6;3;2;;6100;6588;25000;23000;37500;0.495773634;1100;39.9;12;;36.4;460-850;0.03;140;;;;
FoxESS T3 G3;-;98.6;3;2;;3700;3996;3000;2000;4500;0.991547267;1100;4.8;12;;18.2;140-850;0.03;140;;;;
FoxESS T4 G3;-;98.6;3;2;;3750;4050;4000;3000;6000;0.99;1100;6.4;12;;18.2;155-850;0.03;140;;;;
FoxESS T5 G3;-;98.6;3;2;;3800;4104;5000;4000;7500;550;1100;8;12;60;18.2;190-850;0.03;140;;;;
FoxESS T6 G3;-;98.6;3;2;;3900;4212;6000;5000;9000;;1100;9.6;12;;18.2;230-850;0.03;140;;;;
FoxESS T8 G3;-;98.6;3;2;;4000;4320;8000;6000;12000;;1100;12.8;12;;18.2;300-850;0.03;140;;;;
